[31-Dec-2019 15:59:08 Asia/Tokyo] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/laravel/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Concerns/HasAttributes.php on line 426
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  46. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  47. Illuminate\Routing\Middleware\SubstituteBindings->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  48. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  49. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  50. App\Http\Middleware\Logined->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  51. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /var/www/laravel/app/Http/Middleware/Logined.php:33
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  52. Illuminate\Routing\Router->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:656-660}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  53. Illuminate\Routing\Route->run() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:658
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  54. Illuminate\Routing\Route->runController() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Route.php:169
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  55. Illuminate\Routing\ControllerDispatcher->dispatch() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Route.php:212
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  56. App\Http\Controllers\admin\TideController->callAction() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:45
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  57. call_user_func_array:{/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  58. App\Http\Controllers\admin\TideController->showList() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[01-Jan-2020 22:55:32 Asia/Tokyo] PHP  59. App\Model\Tide::getFileData() /var/www/laravel/app/Http/Controllers/admin/TideController.php:25
[01-Jan-2020 22:55:32 Asia/Tokyo] PHP  60. App\Model\Tide::toTideDatas2() /var/www/laravel/app/Model/Tide.php:23
[01-Jan-2020 22:55:32 Asia/Tokyo] PHP  61. App\Model\Tide::toTideData() /var/www/laravel/app/Model/Tide.php:54
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP Fatal error:  Maximum execution time of 120 seconds exceeded in /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php on line 110
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP Stack trace:
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP   1. {main}() /var/www/html/index.php:0
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP   2. App\Http\Kernel->handle() /var/www/html/index.php:55
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP   3. App\Http\Kernel->sendRequestThroughRouter() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP   4. Illuminate\Routing\Pipeline->then() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP   5. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP   7. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP   8. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:46
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP   9. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  10. Illuminate\Foundation\Http\Middleware\ValidatePostSize->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  12. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  13. App\Http\Middleware\TrimStrings->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  14. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  15. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  16. Illuminate\Foundation\Http\Middleware\ConvertEmptyStringsToNull->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  17. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  18. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  19. App\Http\Middleware\TrustProxies->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  20. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /var/www/laravel/vendor/fideloper/proxy/src/TrustProxies.php:56
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  21. App\Http\Kernel->Illuminate\Foundation\Http\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:173-177}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  22. Illuminate\Routing\Router->dispatch() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  23. Illuminate\Routing\Router->dispatchToRoute() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:590
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  24. Illuminate\Routing\Router->runRoute() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:601
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  25. Illuminate\Routing\Router->runRouteWithinStack() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  26. Illuminate\Routing\Pipeline->then() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:660
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  27. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  28. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  29. App\Http\Middleware\EncryptCookies->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  30. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:66
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  31. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  32. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  33. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  34. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  35. Illuminate\Session\Middleware\StartSession->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  36. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:63
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  37. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  40. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  41. App\Http\Middleware\VerifyCsrfToken->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:49 Asia/Tokyo] PHP  42. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:68
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  43. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  44. Illuminate\Auth\Middleware\Authenticate->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  45. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Auth/Middleware/Authenticate.php:43
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  46. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  47. Illuminate\Routing\Middleware\SubstituteBindings->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  48. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  49. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  50. App\Http\Middleware\Logined->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  51. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /var/www/laravel/app/Http/Middleware/Logined.php:33
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  52. Illuminate\Routing\Router->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:656-660}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  53. Illuminate\Routing\Route->run() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:658
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  54. Illuminate\Routing\Route->runController() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Route.php:169
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  55. Illuminate\Routing\ControllerDispatcher->dispatch() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Route.php:212
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  56. App\Http\Controllers\admin\TideController->callAction() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:45
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  57. call_user_func_array:{/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  58. App\Http\Controllers\admin\TideController->showList() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  59. App\Model\Tide::getFileData() /var/www/laravel/app/Http/Controllers/admin/TideController.php:25
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  60. App\Model\Tide::toTideDatas2() /var/www/laravel/app/Model/Tide.php:23
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  61. App\Model\Tide::toTideData() /var/www/laravel/app/Model/Tide.php:54
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  62. Illuminate\Foundation\Bootstrap\HandleExceptions->handleShutdown() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php:0
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  63. Illuminate\Foundation\Bootstrap\HandleExceptions->handleException() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php:123
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  64. Illuminate\Foundation\Bootstrap\HandleExceptions->renderHttpResponse() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php:89
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  65. App\Exceptions\Handler->render() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php:112
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  66. App\Exceptions\Handler->render() /var/www/laravel/app/Exceptions/Handler.php:51
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  67. App\Exceptions\Handler->prepareResponse() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Exceptions/Handler.php:187
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  68. App\Exceptions\Handler->convertExceptionToResponse() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Exceptions/Handler.php:286
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  69. App\Exceptions\Handler->renderExceptionWithWhoops() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Exceptions/Handler.php:313
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  70. Whoops\Run->handleException() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Exceptions/Handler.php:339
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  71. Whoops\Handler\PrettyPageHandler->handle() /var/www/laravel/vendor/filp/whoops/src/Whoops/Run.php:272
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  72. Whoops\Util\TemplateHelper->render() /var/www/laravel/vendor/filp/whoops/src/Whoops/Handler/PrettyPageHandler.php:250
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  73. call_user_func:{/var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248}() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  74. Whoops\Util\TemplateHelper->Whoops\Util\{closure:/var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248-251}() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  75. require() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:250
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  76. Whoops\Util\TemplateHelper->render() /var/www/laravel/vendor/filp/whoops/src/Whoops/Resources/views/layout.html.php:23
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  77. call_user_func:{/var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248}() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  78. Whoops\Util\TemplateHelper->Whoops\Util\{closure:/var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248-251}() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  79. require() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:250
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  80. Whoops\Util\TemplateHelper->render() /var/www/laravel/vendor/filp/whoops/src/Whoops/Resources/views/panel_details_outer.html.php:2
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  81. call_user_func:{/var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248}() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  82. Whoops\Util\TemplateHelper->Whoops\Util\{closure:/var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248-251}() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  83. require() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:250
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  84. Whoops\Util\TemplateHelper->render() /var/www/laravel/vendor/filp/whoops/src/Whoops/Resources/views/panel_details.html.php:1
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  85. call_user_func:{/var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248}() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  86. Whoops\Util\TemplateHelper->Whoops\Util\{closure:/var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248-251}() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:248
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  87. require() /var/www/laravel/vendor/filp/whoops/src/Whoops/Util/TemplateHelper.php:250
[01-Jan-2020 22:55:50 Asia/Tokyo] PHP  88. Whoops\Util\TemplateHelper->breakOnDelimiter() /var/www/laravel/vendor/filp/whoops/src/Whoops/Resources/views/frame_code.html.php:16
[01-Jan-2020 22:58:51 Asia/Tokyo] PHP Fatal error:  Maximum execution time of 120 seconds exceeded in /var/www/laravel/app/Model/Tide.php on line 68
[01-Jan-2020 22:58:51 Asia/Tokyo] PHP Stack trace:
[01-Jan-2020 22:58:52 Asia/Tokyo] PHP   1. {main}() /var/www/html/index.php:0
[01-Jan-2020 22:58:52 Asia/Tokyo] PHP   2. App\Http\Kernel->handle() /var/www/html/index.php:55
[01-Jan-2020 22:58:52 Asia/Tokyo] PHP   3. App\Http\Kernel->sendRequestThroughRouter() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116
[01-Jan-2020 22:58:52 Asia/Tokyo] PHP   4. Illuminate\Routing\Pipeline->then() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151
[01-Jan-2020 22:58:52 Asia/Tokyo] PHP   5. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102
[01-Jan-2020 22:58:53 Asia/Tokyo] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:58:53 Asia/Tokyo] PHP   7. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:58:53 Asia/Tokyo] PHP   8. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:46
[01-Jan-2020 22:58:53 Asia/Tokyo] PHP   9. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:58:53 Asia/Tokyo] PHP  10. Illuminate\Foundation\Http\Middleware\ValidatePostSize->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:58:53 Asia/Tokyo] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27
[01-Jan-2020 22:58:53 Asia/Tokyo] PHP  12. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
